questions,answers
"When a metallic ball bearing is placed inside a cylindrical container, of radius 2 cm, the height of the water, inside the container, increases by 0.6 cm. The radius, to the nearest tenth of a centimeter, of the ball bearing is ",1.2 cm
"A circle with center (4,-5) is tangent to the y-axis in the standard (x,y) coordinate plane. What is the radius of this circle?",4
A particle travels 1 x 106 meters per second in a straight line for 5 x 10-6 seconds. How many meters has it traveled? ,5
"The area of a trapezoid is 0.5 h (b1 + b2), where h is the altitude, and b1 and b2 are the lengths of the parallel bases. If a trapezoid has an altitude of 15 inches, an area of 105 square inches, and one of the bases 22 inches, what is the perimeter, in inches, of the trapezoid? ",This trapezoid does not exist.
The two legs of a right triangle measure 6 and 8 inches respectively. What is the area of the circle that contains all 3 vertices of the triangle? ,25Pi
The basic operations performed by a computer are,All the above
The two major types of computer chips are,Both b and c
Microprocessors as switching devices are for which generation computers,Fourth Generation
The brain of any computer system is,CPU
ASCII and EBCDIC are the popular character coding systems. What does EBCDIC stand for?,Extended Binary Coded Decimal Interchange Code
"A wire having an area of cross section = 10sqm and another wire having an area of cross section= 15sqm, have the same length and are made up of the same material. Which wire has more resistance?",The 10sqm wire has higher resistance
"Which, among the following is a unit for resistivity?",Ohm-metre
Which of the following statements are true with regard to resistance?, Resistance depends on the temperature
What is the resistivity of Copper?,1.59*10-8ohm-m
"A body of mass m moving with velocity v collides with a stationary body of mass 2m and coalesce to form one body. The speed of the system after collision, is",v
